"url","id","label_it","level.@type","level.@value","parent"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/-2","-2","Grado superiore a 100","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/0","0","A zero","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/1","1","Da 01 a 05","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/2","2","Da 06 a 15","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/3","3","Da 16 a 100","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia2/1.1","1.1","Da 01 a 05","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia2/2.2","2.2","Da 06 a 15","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia2/3.3","3.3","Da 16 a 20","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia2/3.4","3.4","Da 21 a 25","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia2/3.5","3.5","Da 26 a 35","http://www.w3.org/2001/XMLSchema#integer","2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classe_menomazione/fascia1/3"
