"url","id","parent","label_en","label_it","level"
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.1","I.1","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Intestinal infectious diseases","Malattie infettive intestinali (A00-A09)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.10","I.10","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Viral infections characterized by skin and mucous membrane lesions","Infezioni virali caratterizzate da lesioni della cute e delle membrane mucosa (B00-B09)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.11","I.11","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Viral hepatitis ","Epatite virale (B15-B19)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.12","I.12","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Human immunodeficiency virus [HIV] disease","Malattia da virus dell'immunodeficienza umana [HIV] (B20-B24)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.13","I.13","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Mycoses","Micosi (B35-B49)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.14","I.14","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Protozoal diseases ","Malattie protozoarie (B50-B64)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.15","I.15","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Helminthiases","Elmintiasi (B65-B83)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.16","I.16","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Pediculosis, acariasis and other infestations","Pediculosi, acariasi ed altre infestazioni (B85-B89)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.17","I.17","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Sequelae of infectious and parasitic diseases","Sequele di malattie infettive e parassitarie (B90-B94)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.2","I.2","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Tuberculosis","Tubercolosi (A15-A19)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.3","I.3","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Certain zoonotic bacterial diseases","Alcune malattie batteriche trasmesse da animali (A20-A28)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.4","I.4","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Other bacterial diseases ","Altre malattie batteriche (A30-A49)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.5","I.5","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Other spirochaetal diseases","Altre malattie da spirochete (A65-A69)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.6","I.6","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Other diseases caused by chlamydiae ","Altre malattie causate da Chlamydiae (A70-A74)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.7","I.7","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Rickettsioses","Rickettsiosi (A75-A79)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.8","I.8","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Viral infections of the central nervous system","Infezioni virali del sistema nervoso centrale (A80-A89)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/I.9","I.9","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/I","Arthropod-borne viral fevers and viral haemorrhagic fevers","Febbri virali da artropodi e febbri virali emorragiche (A90-A99)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.1","II.1","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms of lip, oral cavity and pharynx","Tumori maligni del labbro, della cavità orale e della faringe (C00-C14)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.10","II.10","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms of urinary tract","Tumori maligni dell'apparato urinario (C64-C68)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.11","II.11","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms of eye, brain and other parts of central nervous system","Tumori maligni dell'occhio, dell'encefalo e di altre parti del sistema nervoso centrale (C69-C72)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.12","II.12","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms of thyroid and other endocrine glands","Tumore maligno della tiroide e delle altre ghiandole endocrine (C73-C75)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.13","II.13","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms of ill-defined, secondary and unspecified sites","Tumori maligni di sedi mal definite, tumori secondari e di sedi non specificate (C76-C80)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.14","II.14","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","Tumore maligno del tessuto linfatico, ematopoietico e tessuti correlati (C81-C96)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.15","II.15","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Malignant neoplasms of independent (primary) multiple sites","Tumori maligni di sedi indipendenti (primitive) multiple (C97)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.16","II.16","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Tumori in situ (D00-D09","Tumori in situ (D00-D09)",2
"https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/categoria_ICDX/II.17","II.17","https://w3id.org/italia/controlled-vocabulary/work-accident/ised/adm_serv/classificazione_ICDX/settore_ICDX/II","Benign neoplasms ","Tumori benigni (D10-D36)",2
