"url","id","parent","label_en","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.1","I.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Intestinal infectious diseases","Malattie infettive intestinali (A00-A09)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.10","I.10","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Viral infections characterized by skin and mucous membrane lesions","Infezioni virali caratterizzate da lesioni della cute e delle membrane mucosa (B00-B09)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.11","I.11","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Viral hepatitis ","Epatite virale (B15-B19)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.12","I.12","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Human immunodeficiency virus [HIV] disease","Malattia da virus dell'immunodeficienza umana [HIV] (B20-B24)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.13","I.13","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Mycoses","Micosi (B35-B49)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.14","I.14","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Protozoal diseases ","Malattie protozoarie (B50-B64)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.15","I.15","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Helminthiases","Elmintiasi (B65-B83)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.16","I.16","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Pediculosis, acariasis and other infestations","Pediculosi, acariasi ed altre infestazioni (B85-B89)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.17","I.17","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Sequelae of infectious and parasitic diseases","Sequele di malattie infettive e parassitarie (B90-B94)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.2","I.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Tuberculosis","Tubercolosi (A15-A19)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.3","I.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Certain zoonotic bacterial diseases","Alcune malattie batteriche trasmesse da animali (A20-A28)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.4","I.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Other bacterial diseases ","Altre malattie batteriche (A30-A49)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.5","I.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Other spirochaetal diseases","Altre malattie da spirochete (A65-A69)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.6","I.6","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Other diseases caused by chlamydiae ","Altre malattie causate da Chlamydiae (A70-A74)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.7","I.7","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Rickettsioses","Rickettsiosi (A75-A79)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.8","I.8","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Viral infections of the central nervous system","Infezioni virali del sistema nervoso centrale (A80-A89)","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.9","I.9","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I","Arthropod-borne viral fevers and viral haemorrhagic fevers","Febbri virali da artropodi e febbri virali emorragiche (A90-A99)","http://www.w3.org/2001/XMLSchema#integer","2"
