"url","id","label_it","level.@type","level.@value","parent"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/macro_area/1","1","Testa","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/macro_area/2","2","Torace e organi interni","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/macro_area/3","3","Colonna vertebrale","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/macro_area/4","4","Arti superiori","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/macro_area/5","5","Arti inferiori","http://www.w3.org/2001/XMLSchema#integer","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/11","11","Cranio","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/12","12","Encefalo","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/13","13","Naso","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/14","14","Bocca","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/15","15","Faccia","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/16","16","Collo","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.4"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/17","17","Cuore e organi mediastino","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/18","18","Fegato","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/19","19","Milza","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/20","20","Stomaco e organi intestinali","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/21","21","Organi urigenitali","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.7"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/22","22","Parete addominale","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.6"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/23","23","Colonna vertebr./cervicale","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/24","24","Colonna vertebr./toracica","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/25","25","Colonna vertebr./lombare","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/26","26","Col.vertebr./sacro e coccige","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/27","27","Col.vert-midollo/cervicale","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/28","28","Col.vert-midollo/toracica","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/29","29","Col.vert-midollo/lombare","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/30","30","Col.vert-midollo/sacro-coccige","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/3.8"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/31","31","Occhio sinistro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/32","32","Occhio destro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/33","33","Orecchio sinistro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/34","34","Orecchio destro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/1.3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/35","35","Cingolo toracico sinistro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/36","36","Cingolo toracico destro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.5"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/parte_corpo/37","37","Polmone sinistro","http://www.w3.org/2001/XMLSchema#integer","3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/sede_lesione/zona/2.7"
