"url","id","parent","label_it","level"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110101","11110101","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Idrogeno","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110102","11110102","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Tritio","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110103","11110103","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Idruri","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110104","11110104","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Deuterio","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110199","11110199","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Altro","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110201","11110201","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Litio","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110299","11110299","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Altro","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110301","11110301","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Sodio","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110302","11110302","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Perossidi di sodio","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110303","11110303","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Solfuro di sodio","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110304","11110304","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Cloruro di sodio (sale da cucina)","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110305","11110305","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Idrossido di sodio(alcali caustici)","3"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/agente/11110306","11110306","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_causale/gruppo/1.1","Ossidi di sodio","3"
