url,id,parent,label_it,level
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.1,1.1,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Colera,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.10,1.10,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Altre forme di tubercolosi dell'apparato respiratorio,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.11,1.11,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Altre localizzazioni e postumi tubercolari,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.12,1.12,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Carbonchio,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.13,1.13,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Brucellosi,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.14,1.14,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Difterite,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.15,1.15,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Pertosse,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.16,1.16,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Scarlattina,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.17,1.17,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Angina streptococcica,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.18,1.18,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Eresipela,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/malattia/1.19,1.19,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_malattia/settore/1,Infezione meningococcica,2
